vuδǰ,vuδ<v>><prf><m>,vuð<v>><prf>/vuδ<v>><prf>/vuðǰ<v><prf><m>/vuðǰ<v><prf><m>/vuδǰ<v><prf><m>/vuδǰ<v><prf><m>,TP=4;FN=0;FP=2
navuδǰ,<neg>>vuδ<v>><prf><m>,<neg>>vuð<v>><prf>/<neg>>vuδ<v>><prf>/<neg>>vuðǰ<v><prf><m>/<neg>>vuðǰ<v><prf><m>/<neg>>vuδǰ<v><prf><m>/<neg>>vuδǰ<v><prf><m>,TP=4;FN=0;FP=2
yi,yi<prt><indef>/yi<pro><indef>/yi<num>,yi<adj>/yi<num>/yi<pro>/yi<prt>,TP=1;FN=2;FP=3
yu-yi,yu<dem><d3><m><sg>><3sg>,yu<dem><d3><m><sg>><3sg>,TP=1;FN=0;FP=0
pi,pi<prep><up>,pi<prep>/pi<v><prs>,TP=0;FN=1;FP=2
biland,biland<n>,biland<adj>,TP=0;FN=1;FP=1
kū,kū<n>,kū<n>,TP=1;FN=0;FP=0
zindagi,zindagi<n>,zindagi<n>,TP=1;FN=0;FP=0
čūɣ̌ǰ,čūɣ̌<v>><prf>/čūɣ̌<v>><prf><m>,čūɣ̌<v>><prf>,TP=1;FN=1;FP=0
di,di<dem><d2><m><sg><obl>,di<conj>/di<dem><d2><m><sg><obl>/di<prt>/di<v><imp>/di<v><prs>/di<v><prs><2sg>,TP=1;FN=0;FP=5
bīr-and,bīr<post><sub>><loc>,bīr<n>><loc>,TP=0;FN=1;FP=1
qišloq,qišloq<n>,qišloq<n>/qišlōq<n>,TP=2;FN=0;FP=0
vuδǰ-at,vuδ<v>><prf><m>><coord2>,vuð<v>><prf>><coord2>/vuδ<v>><prf>><coord2>/vuðǰ<v><prf><m>><2sg>/vuðǰ<v><prf><m>><2sg>/vuδǰ<v><prf><m>><2sg>/vuδǰ<v><prf><m>><2sg>/vuðǰ<v><prf><m>><coord2>/vuðǰ<v><prf><m>><coord2>/vuδǰ<v><prf><m>><coord2>/vuδǰ<v><prf><m>><coord2>,TP=4;FN=0;FP=6
qišloq-and-ga,qišloq<n>><loc>><add1>,qišloq<n>><loc>><add>/qišlōq<n>><loc>><add>,TP=0;FN=1;FP=2
ɣulā,ɣulā<n>,ɣulā<adj>/ɣulā<n>,TP=1;FN=0;FP=1
boǰakzor,<walnut>>zor<n><place>,boǰ<n>><dim>><place>/boǰ<n>><dim>><place>/bōǰ<n>><dim>><place>/bōǰ<n>><dim>><place>/boǰak<n>><place>/boǰak<n>><place>/bōǰak<n>><place>/bōǰak<n>><place>,TP=0;FN=1;FP=8
tīramo,tīramo<n>,tīr<adj>>амо<n>/tīramo<n>/tīramō<n>,TP=2;FN=0;FP=1
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/bōǰ<n>><dim>/bōǰ<n>><dim>/boǰak<n>/boǰak<n>/bōǰak<n>/bōǰak<n>,TP=4;FN=0;FP=4
firopt-at,firop<v>><prs><3sg>><coord2>,firop<v>><prs><3sg>><coord2>/firōp<v>><prs><3sg>><coord2>,TP=2;FN=0;FP=0
yid,yid<dem><d2><sg>,yid<dem><d2><sg>,TP=1;FN=0;FP=0
xāfst,xāfs<v>><prs><3sg>,xāfs<v><prs>><2sg>/xāfs<v>><inf>/xāfs<v>><prs><3sg>/xāfs<v>><pst>,TP=1;FN=0;FP=3
ar,ar<prep><down>/ar<pro>/ar<prt>,ar<n>/ar<prep>/ar<pro>/ar<prt>,TP=2;FN=1;FP=2
cift,cif<v>><inf>,cif<v><prs>><2sg>/cif<v>><inf>/cif<v>><prs><3sg>/cif<v>><pst>/cift<v><prs>,TP=1;FN=0;FP=4
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,TP=1;FN=0;FP=2
