cyrillic,meaning
андӯйд,"вставать, подниматься"
индӯйд,"вставать, подниматься"
андӯйд,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индӯйд,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андӯйд,"уходить, покидать"
индӯйд,"уходить, покидать"
андӯйд,"отставать, отделяться, отходить, отлипать"
индӯйд,"отставать, отделяться, отходить, отлипать"
андӯйд,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индӯйд,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андӯйд,"вырастать, подрастать (напр., о детях)"
индӯйд,"вырастать, подрастать (напр., о детях)"
андӯйд,"расти, вырастать; прорастать, появляться (о всходах растений)"
индӯйд,"расти, вырастать; прорастать, появляться (о всходах растений)"
андӯйд,"продвигаться по службе, идти в гору, делать карьеру"
индӯйд,"продвигаться по службе, идти в гору, делать карьеру"
андӯйд,"начинаться, возникать"
индӯйд,"начинаться, возникать"
wизуд,"гаснуть, угасать, потухать"
wирӯвд,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wирӯвд,отставать (напр. в развитии); ослабевать; отцветать
дунгт,дрожать (от холода)
θуд,гореть; сгорать; зажигаться
θуд,обжигаться
θуд,пропадать (даром)
зибуд,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
зибуд,"отваливаться, отскакивать; падать, валиться"
зибуд,"исчезать, пропадать; убегать"
зидух̌т,"рваться, разрываться; ломаться; лопаться, трескаться (прям. и перен.)"
зидух̌т,"валиться, обрушиваться"
зидух̌т,"распускаться, перестать владеть собой"
зидух̌т,"спадать, утихать"
зидух̌т,"заканчиваться, кончаться"
нарфӣд,выдернуться; вывихнуться
нах̌фӣд,выдернуться; вывихнуться
них̌фӣд,выдернуться; вывихнуться
нихух̌т,"разрушаться, обваливаться"
рихух̌т,"разрушаться, обваливаться"
нихух̌т,спускаться; опускаться
рихух̌т,спускаться; опускаться
парwух̌т,соскальзывать (с меха при плавании)
пирwух̌т,соскальзывать (с меха при плавании)
парwух̌т,"касаться, вмешиваться, интересоваться"
пирwух̌т,"касаться, вмешиваться, интересоваться"
пирӯст,"рваться, разрываться"
пирӯст,"протекать; капать; просачиваться, прорываться (о воде)"
пирӯст,"проходить, прекращаться"
пулт,"несильно гореть, теплиться"
пулт,"поблескивать, блестеть, мерцать"
пулт,слабо видеть (о глазах)
риwух̌т,"летать; улетать, взлетать"
рацӯст,"бежать; убегать, сбегать"
рицӯст,"бежать; убегать, сбегать"
сируд,"отделяться, выделяться"
сируд,сворачиваться (о молочных продуктах)
сируд,"перестать сосать грудь, отказываться от груди"
сифӣд,подниматься
сифӣд,достигать какого-л. уровня
сифӣд,"преуспевать, расти (в должности)"
тух̌т,драться
тӯйд,"идти; ходить, ездить; отправляться, уезжать, улетать"
тӯйд,"иметь течь, течь"
тӯйд,"идти, течь, струиться (о потоке и т. п.)"
тӯйд,"исходить, распространяться"
тӯйд,ходить (о часах)
тӯйд,идти (о времени)
тӯйд,дуть (о ветре)
фируд,"прополаскиваться начисто, отмываться"
фунгт,тихо ржать (о лошади)
фух̌т,"пыхтеть, тяжело дышать, часто дышать"
фух̌т,"молчать, сердиться, дуться"
ғибух̌т,"кончаться, заканчиваться (о вязании)"
ғибух̌т,прекращать рост; оставаться на одном и том же уровне
аwӯйд,"ложиться, укладываться, разваливаться (чаще о животных)"
аɣ̌ӯйд,"ложиться, укладываться, разваливаться (чаще о животных)"
аwӯйд,"никнуть к земле, стелиться (о растениях)"
аɣ̌ӯйд,"никнуть к земле, стелиться (о растениях)"
аwӯйд,"рассаживаться, разваливаться (о человеке)"
аɣ̌ӯйд,"рассаживаться, разваливаться (о человеке)"
нах̌тӯйд,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌тӯйд,"возникать, появляться, объявляться"
нах̌тӯйд,"объявляться, заявляться, прибывать"
нах̌тӯйд,добираться
нах̌тӯйд,выходить из печати
нах̌тӯйд,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌тӯйд,"оказываться, обнаруживаться"
нах̌тӯйд,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌тӯйд,уходить (от мужа)
