cyrillic,meaning
анцен,шить; зашивать; прошивать
анҷен,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷен,"ловить; поймать, схватить"
анҷен,"задерживать, удерживать"
анҷен,занимать место; захватывать
анҷен,"схватить, одолеть (о болезни)"
анҷен,"брать в жены, жениться"
анҷен,"класть сверху, накладывать; покрывать"
анҷен,"приступать к рассказу, начинать рассказывать"
бих̌чен,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чен,"хватать, захватывать"
δен,давать; дарить; отдавать; предоставлять
δен,выдавать замуж
δен,"ударять, бить, стегать; вонзать, втыкать"
δен,бодать
δен,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δен,"убивать, подстреливать (на охоте)"
δен,давить; жать
δен,"бросать, кидать; швырять"
δен,"касаться, трогать, задевать (прям. и перен.)"
δен,точить
δен,играть (на музыкальном инструменте)
δен,"помещать, класть (в разн. знач.)"
δен,"связывать, соединять; добавлять, прибавлять"
δен,"воздействовать, влиять, оказывать влияние, охватывать"
δен,передвигаться (в разн. знач.)
δен,делать; устраивать (в разн. знач.)
δен,ругать
δен,"тратить, расходовать"
δен,"лопать, лакать, дуть, пить; жрать"
δен,одеваться
δен,"бросаться; передвигаться, двигаться, добираться"
δен,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δен,"падать, валиться, сваливаться"
δен,"падать, выпадать, идти (об осадках)"
δен,"попадать, оказываться"
δен,"ударяться, стукаться; наталкиваться, натыкаться"
δен,"случаться, происходить"
δен,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δен,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
зиден,"подметать, выметать, выгребать, вычищать, вытирать"
зиден,"обчищать, обкрадывать"
лу̊д,"говорить, сказать, молвить; утверждать"
лу̊д,"рассказывать, повествовать; сообщать"
лу̊д,просить; спрашивать
лу̊д,называть
лу̊д,упрекать; ругать; бранить
лу̊д,"предполагать, думать, считать"
лу̊д,"обещать, давать слово"
лу̊д,петь (песни)
лу̊д,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу̊д,"вспомогательный глагол, входит в состав ряда сложных глаголов"
парδен,продавать; менять (*прям. и перен.*)
питен,"бросать, кидать (в разн. знач.)"
питен,"класть, помещать"
питен,оставлять; покидать; бросать
питен,ронять
питен,"задавать, бросать корм"
питен,"валить, взваливать"
питен,"подбрасывать, подвозить, довозить"
питен,"вычитывать, убавлять, сбрасывать"
питен,"поручать, перепоручать; доверять кому-л."
сен,"идти, ехать, отправляться; доходить (до предела)"
сен,"становиться, делаться, превращаться"
сен,"быть, происходить, случаться"
сен,"появляться, возникать; рождаться"
сен,"водиться, встречаться; произрастать"
сен,"получаться, выходить"
сен,"наступать, исполняться; проходить"
сен,"быть, приходиться кем-л. кому-л."
сен,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сен,попадать
сен,"деваться, пропадать"
сен,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сен,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сен,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сен,тк. в форме су́т-ат(ā) (подчинительный союз) если
анҷен,"держать себя, держаться"
анцен,шить
анҷен,"держать, приобретать, овладевать, брать, ловить"
бих̌чен,"черпать, зачерпывать (жидкость, зерно)"
δен,"давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)"
δен,"пуститься, броситься"
патен,"бросать, валить"
паттен,"бросать, валить"
питен,"бросать, валить"
питтен,"бросать, валить"
сен,"отправляться, идти, уходить, уехать, уезжать"
вен,"приносить, привозить, приводить"
хен,есть
зен,"брать, получать"
зиден,подметать
зен,"усвоить, выучить"
сен,"делаться, становиться"
δен,"попасть, очутиться"
δен,выпадать (об осадках)
