cyrillic,meaning
вāр-δи,"мочь, быть в состоянии"
вāр-δи,"справляться, одолевать, осиливать"
вāр-δи,уметь
ди́,"бить, колотить, ударять; толочь, разбивать, раскалывать"
ди́,"гнать, гонять, погонять; пускать"
ди́,"пускать воду, поливать"
ди́,"критиковать, пропесочивать; чернить"
ди́,"пить; хлебать; жрать, лопать и т.п."
лā́к,"отпускать, освобождать; оставлять (в покое)"
лā́к,"оставлять; бросать, покидать"
лā́к,"класть, ставить; оставлять (на чем-л., где-л.)"
лā́к,"разрешать, допускать"
лā́к,распускать
лā́к,отпускать (о боли)
лā́к,"в форме императива в сочетании с 3-м, реже с 1-м л. наст. вр. употребляется для выражения косвенного приказания или пожелания; пусть; ну-ка, дай-(ка)"
лу́в,"говорить, сказать, молвить; утверждать"
лу̊́в,"говорить, сказать, молвить; утверждать"
лу́в,"рассказывать, повествовать; сообщать"
лу̊́в,"рассказывать, повествовать; сообщать"
лу́в,просить; спрашивать
лу̊́в,просить; спрашивать
лу́в,называть
лу̊́в,называть
лу́в,упрекать; ругать; бранить
лу̊́в,упрекать; ругать; бранить
лу́в,"предполагать, думать, считать"
лу̊́в,"предполагать, думать, считать"
лу́в,"обещать, давать слово"
лу̊́в,"обещать, давать слово"
лу́в,петь (песни)
лу̊́в,петь (песни)
лу́в,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу̊́в,"токовать; ворковать, чирикать, петь, кричать (о птицах)"
лу́в,"вспомогательный глагол, входит в состав ряда сложных глаголов"
лу̊́в,"вспомогательный глагол, входит в состав ряда сложных глаголов"
дий,бить
лу̊в,"говорить, петь, называть"
