cyrillic,meaning
анцā́в,шить; зашивать; прошивать
инцā́в,шить; зашивать; прошивать
анҷā́в,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
инҷā́в,"(*прям.*) держать; держать(ся), брать(ся), хватать(ся)"
анҷā́в,"ловить; поймать, схватить"
инҷā́в,"ловить; поймать, схватить"
анҷā́в,"задерживать, удерживать"
инҷā́в,"задерживать, удерживать"
анҷā́в,занимать место; захватывать
инҷā́в,занимать место; захватывать
анҷā́в,"схватить, одолеть (о болезни)"
инҷā́в,"схватить, одолеть (о болезни)"
анҷā́в,"брать в жены, жениться"
инҷā́в,"брать в жены, жениться"
анҷā́в,"класть сверху, накладывать; покрывать"
инҷā́в,"класть сверху, накладывать; покрывать"
анҷā́в,"приступать к рассказу, начинать рассказывать"
инҷā́в,"приступать к рассказу, начинать рассказывать"
бих̌чā́р,"черпать, зачерпывать; разливать; наливать; сгребать; рассыпать, насыпать (жидкости и сыпучие вещества)"
бих̌чā́р,"хватать, захватывать"
δā́δ,давать; дарить; отдавать; предоставлять
δā́δ,выдавать замуж
δā́δ,"ударять, бить, стегать; вонзать, втыкать"
δā́δ,бодать
δā́δ,"разбивать, побеждать (в борьбе, в состязании); одолевать"
δā́δ,"убивать, подстреливать (на охоте)"
δā́δ,давить; жать
δā́δ,"бросать, кидать; швырять"
δā́δ,"касаться, трогать, задевать (прям. и перен.)"
δā́δ,точить
δā́δ,играть (на музыкальном инструменте)
δā́δ,"помещать, класть (в разн. знач.)"
δā́δ,"связывать, соединять; добавлять, прибавлять"
δā́δ,"воздействовать, влиять, оказывать влияние, охватывать"
δā́δ,передвигаться (в разн. знач.)
δā́δ,делать; устраивать (в разн. знач.)
δā́δ,ругать
δā́δ,"тратить, расходовать"
δā́δ,"лопать, лакать, дуть, пить; жрать"
δā́δ,одеваться
δā́δ,"бросаться; передвигаться, двигаться, добираться"
δā́δ,"вспомогательный глагол, образует сложноименные глаголы активного значения"
δи́,"падать, валиться, сваливаться"
δи́,"падать, выпадать, идти (об осадках)"
δи́,"попадать, оказываться"
δи́,"ударяться, стукаться; наталкиваться, натыкаться"
δи́,"случаться, происходить"
δи́,вспомогательный глагол образует сложноименные глаголы среднего (непереходного) значения
δи́,"в конструкциях с кратким инфинитивом других глаголов, реже с существительными в сочетании с послелогами ш. -ард, -ирд употребляется для выражения начинательности (со словами пай, дараw, дар, чи)"
зêз,"брать; взимать, взыскивать (в разн. знач.)"
зêз,получать (в разн. знач.); принимать
зêз,покупать
зêз,снимать (напр. головной убор)
зêз,"освобождать, снимать (с должности)"
зêз,"фотографировать, снимать, делать снимок"
зêз,"убирать, собирать (урожай)"
зêз,"усваивать, выучивать"
зêз,"начинать (делать что-л.), приступать, приниматься (за что-л.)"
зидā́р,"подметать, выметать, выгребать, вычищать, вытирать"
зидā́р,"обчищать, обкрадывать"
лā́к,"отпускать, освобождать; оставлять (в покое)"
лā́к,"оставлять; бросать, покидать"
лā́к,"класть, ставить; оставлять (на чем-л., где-л.)"
лā́к,"разрешать, допускать"
лā́к,распускать
лā́к,отпускать (о боли)
лā́к,"в форме императива в сочетании с 3-м, реже с 1-м л. наст. вр. употребляется для выражения косвенного приказания или пожелания; пусть; ну-ка, дай-(ка)"
парδā́δ,продавать; менять (*прям. и перен.*)
парҷā́в,"брать; отнимать, отбирать, забирать"
парҷ,"брать; отнимать, отбирать, забирать"
патếw,"бросать, кидать (в разн. знач.)"
питếw,"бросать, кидать (в разн. знач.)"
патếw,"класть, помещать"
питếw,"класть, помещать"
патếw,оставлять; покидать; бросать
питếw,оставлять; покидать; бросать
патếw,ронять
питếw,ронять
патếw,"задавать, бросать корм"
питếw,"задавать, бросать корм"
патếw,"валить, взваливать"
питếw,"валить, взваливать"
патếw,"подбрасывать, подвозить, довозить"
питếw,"подбрасывать, подвозить, довозить"
патếw,"вычитывать, убавлять, сбрасывать"
питếw,"вычитывать, убавлять, сбрасывать"
патếw,"поручать, перепоручать; доверять кому-л."
питếw,"поручать, перепоручать; доверять кому-л."
рима,"велеть, приказывать; поручать; заставлять"
рим,"велеть, приказывать; поручать; заставлять"
рими́,"велеть, приказывать; поручать; заставлять"
рима,посылать
рим,посылать
рими́,посылать
рима,назначать; предлагать
рим,назначать; предлагать
рими́,назначать; предлагать
сā́w,"идти, ехать, отправляться; доходить (до предела)"
сā́w,"становиться, делаться, превращаться"
сā́w,"быть, происходить, случаться"
сā́w,"появляться, возникать; рождаться"
сā́w,"водиться, встречаться; произрастать"
сā́w,"получаться, выходить"
сā́w,"наступать, исполняться; проходить"
сā́w,"быть, приходиться кем-л. кому-л."
сā́w,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
сā́w,попадать
сā́w,"деваться, пропадать"
сā́w,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
сā́w,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
сā́w,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
сā́w,тк. в форме су́т-ат(ā) (подчинительный союз) если
ти́,"идти; ходить, ездить; отправляться, уезжать, улетать"
ти́,"иметь течь, течь"
ти́,"идти, течь, струиться (о потоке и т. п.)"
ти́,"исходить, распространяться"
ти́,ходить (о часах)
ти́,идти (о времени)
ти́,дуть (о ветре)
ти́,входит в состав ряда сложноименных глаголов
хā́р,"есть, кушать, съедать; питаться"
хā́р,"расходовать, разбрасывать, тратить"
хā́р,"наслаждаться, кайфовать"
хā́р,"упрекать, наказывать"
хā́р,"вспомогательный глагол, входит в состав ряда сложноименных глаголов"
вā́р,"приносить, приводить, привозить"
в,"приносить, приводить, привозить"
вā́р,"переводить; переносить, перевозить; перегонять"
в,"переводить; переносить, перевозить; перегонять"
вā́р,"приглашать, звать (в гости)"
в,"приглашать, звать (в гости)"
вā́р,"жениться, брать в жены"
в,"жениться, брать в жены"
вā́р,"рожать; давать, приносить приплод; нести яйца"
в,"рожать; давать, приносить приплод; нести яйца"
вā́р,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
в,"тк. формы шб. ва, ваҳ и сокр. 2-е л. мн. ч. наст. ш. вет: ну(-ка), давай(-ка)"
нах̌ти,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌ти,"возникать, появляться, объявляться"
нах̌ти,"объявляться, заявляться, прибывать"
нах̌ти,добираться
нах̌ти,выходить из печати
нах̌ти,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌ти,"оказываться, обнаруживаться"
нах̌ти,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌ти,уходить (от мужа)
анҷā́в,"держать себя, держаться"
инҷā́в,"держать себя, держаться"
анцāв,шить
анҷāв,"держать, приобретать, овладевать, брать, ловить"
бих̌чāр,"черпать, зачерпывать (жидкость, зерно)"
δāδ,"давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)"
δи,"пуститься, броситься"
нах̌ти,выходить
патêw,"бросать, валить"
паттêw,"бросать, валить"
питêw,"бросать, валить"
питтêw,"бросать, валить"
рими,"приказывать, поручать, заставлять, велеть"
сāw,"отправляться, идти, уходить, уехать, уезжать"
ти,"идти, ехать"
вāр,"приносить, привозить, приводить"
хāр,есть
зêз,"брать, получать"
зидāр,подметать
зêз,"усвоить, выучить"
сāw,"делаться, становиться"
δи,"попасть, очутиться"
δи,выпадать (об осадках)
