cyrillic,meaning
аw,"плакать, реветь (о ребенке)"
ҳаw,"плакать, реветь (о ребенке)"
аwез,"вешать, развешивать, подвешивать"
аwеӡ,"вешать, развешивать, подвешивать"
аwез,"вешать, казнить через повешение"
аwеӡ,"вешать, казнить через повешение"
аɣ̌āн,"покрывать, укрывать; укутывать (напр. одеялом)"
агāн,"покрывать, укрывать; укутывать (напр. одеялом)"
аθак,тяжело дышать; задыхаться (от жары)
аθêр,передавать (из рук в руки); протягивать; отдавать
ажêр,"мочить, смачивать, размачивать (кауз. к ш. ажир, б. нижир)"
нижêр,"мочить, смачивать, размачивать (кауз. к ш. ажир, б. нижир)"
ажир,"мокнуть, намокнуть, размокать, намокать"
нижир,"мокнуть, намокнуть, размокать, намокать"
амбис,"обваливаться, рушиться"
амбӣθ,"обваливаться, рушиться"
анак,"трудиться, возиться; хлопотать"
анафц,"мокнуть, размягчаться"
анафц,размягчаться
анафц,распариться (от жары)
анг,"плакать, реветь (о ребенке)"
ангахц,попадать; застревать; вонзаться
ингахц,попадать; застревать; вонзаться
йингахц,попадать; застревать; вонзаться
ангахц,"задевать, касаться"
ингахц,"задевать, касаться"
йингахц,"задевать, касаться"
ангахц,"заикаться, запинаться"
ингахц,"заикаться, запинаться"
йингахц,"заикаться, запинаться"
ангахц,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
ингахц,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
йингахц,"попадать впросак; оказываться в трудном положении, испытывать трудности, затрудняться"
ангу̊х,"путать, запутывать; сбивать с пути"
ингу̊х,"путать, запутывать; сбивать с пути"
ангу̊х,"заставлять поперхнуться, подавиться"
ингу̊х,"заставлять поперхнуться, подавиться"
ангу̊х,вводить в нужду
ингу̊х,вводить в нужду
андиз,"вставать, подниматься"
андиӡ,"вставать, подниматься"
индиз,"вставать, подниматься"
йиндиз,"вставать, подниматься"
андиз,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андиӡ,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индиз,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
йиндиз,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андиз,"уходить, покидать"
андиӡ,"уходить, покидать"
индиз,"уходить, покидать"
йиндиз,"уходить, покидать"
андиз,"отставать, отделяться, отходить, отлипать"
андиӡ,"отставать, отделяться, отходить, отлипать"
индиз,"отставать, отделяться, отходить, отлипать"
йиндиз,"отставать, отделяться, отходить, отлипать"
