wordform,tagged
wi,wi<dem>
waxt-and,waxt<n><loc>
farmůn,farmůn<n>
nax̌toyd,nax̌toy<v><pst>
xu,xu<cnj>
yamand,yam<dem><loc>
rūm,rūm<nprop>
qaysar,qaysar<n>
awgust,awgust<nprop>
rimod-i,rimo<v><pst><3sg>
yidê,yidê<cnj>
tamůmi,tamům<n><adj>
zamīn-ti,zamīn<n><sup>
mardum,mardum<n>
saršumori,saršumori<n>
kinen,kin<v><prs><3pl>
yid,yid<dem>
awwalīn,awwalīn<n>
saršumori,saršumori<n>
vad,va<v><pst>
wiy-en,wi<dem><3pl>
tām,tām<n>
naɣ̌ǰimč-at,naɣ̌ǰim<v><pf><pqp>
idê,idê<cnj>
sūriyā,sūriyā<nprop>
okim,okim<n>
kiwirīnus,kiwirīnus<nprop>
ca,ca<cnj>
vud,vu<v><pst>
atā,atā<cnj>
fukaθ-en,fukaθ<pro><3pl>
toyd,toy<v><pst>
tar,tar<prep>
saršumori,saršumori<n>
ar,ar<pro>
čāy,čāy<pro>
tar,tar<prep>
xu,xu<pro>
x̌ār,x̌ār<n>
yesuf,yesuf<nprop>
mis,mis<prt>
tūyd,tūy<v><pst>
as,as<prep>
ǰalīl,ǰalīl<nprop>
as,as<prep>
nosirā-ndi,nosirā<nprop><loc>
ar,ar<prep>
yawūdo,yawūdo<nprop>
ar,ar<prep>
baytlem,baytlem<nprop>
nům,nům<n>
dowūd,dowūd<nprop>
x̌ār,x̌ār<n>
důnd,důnd<pro>
aven,aven<post>
idê,idê<cnj>
yu,yu<dem>
as,as<prep>
dowūd,dowūd<nprop>
awlod,awlod<n>
vud,vu<v><pst>
yu,yu<dem>
xu,xu<pro>
xisminenӡ,xisminenӡ<n>
maryam,maryam<nprop>
qati,qati<post>
tar,tar<prep>
saršumori,saršumori<n>
sut,su<v><pst>
yā,yā<dem>
duǰůn,duǰůn<n>
vad,va<v><pst>
atā,atā<cnj>
wāδ-en,wāδ<dem><3pl>
baytlem-and,baytlem<nprop><loc>
ca,ca<cnj>
vad,va<v><pst>
wam,wam<dem>
mêst,mêst<n>
ded,de<v><pst>
wam-and,wam<dem><loc>
sarfarzand,sarfarzand<n>
puc,puc<n>
sut,su<v><pst>
wix̌tak-i,wix̌tak<n><3sg>
wi,wi<pro>
čūd,čū<v><pst>
xu,xu<cnj>
ribūd-i,ribū<v><pst><3sg>
ar,ar<prep>
winīr,winīr<n>
tar,tar<prep>
ɣiǰīd,ɣiǰīd<n>
důnd,důnd<pro>
aven,aven<post>
idê,idê<cnj>
wev-ard,wev<pro><lat>
ar,ar<prep>
qūšxůnā,qūšxůnā<n>
ǰoy,ǰoy<n>
vud,vu<v><pst>
atā,atā<cnj>
wi,wi<dem>
qarībi-ra-yen,qarībi<n><lat><3pl>
čūpůnen,čūpůn<n><pl>
vad,va<v><pst>
wāδ-en,wāδ<dem><3pl>
biyābůn-ard,biyābůn<n><lat>
zindagi,zindagi<n>
čūd,čū<v><pst>
atā,atā<cnj>
x̌ābaǰev-en,x̌āba<n><time><3pl>
čarogo-ra,čarogo<n><lat>
mol,mol<n>
x̌ibůni,x̌ibůni<n>
čūd,čū<v><pst>
wev,wev<dem>
cem,cem<n>
piro-ndi,piro<prep><loc>
xudowand,xudowand<n>
farix̌tā,farix̌tā<n>
peδo,peδo<n>
δod,δo<v><pst>
atā,atā<cnj>
xudowand,xudowand<n>
ǰalol,ǰalol<n>
wev,wev<pro>
garginūx̌ā-yi,garginūx̌ā<post><3sg>
rux,rux<n>
ču,čū<v>
wāδ-en,wāδ<pro><3pl>
osepi,osepi<n>
sat,sa<v><pst>
atā,atā<cnj>
farix̌tā,farix̌tā<n>
wev-ard-i,wev<dem><lat><3sg>
lůd,lů<v><pst>
x̌oǰ,x̌oǰ<n>
δêret,δêr<v><prs><2pl>
wuz,wuz<pers>
tama-rd,tama<pers><lat>
buzurg,buzurg<n>
xabar,xabar<n>
vārum,vār<v><prs><1sg>
buzurg,buzurg<n>
xursandi,xursandi<n>
fuk,fuk<pro>
xalq-ard,xalq<n><lat>
nur,nur<n>
dowūd,dowūd<nprop>
x̌ār-and,x̌ār<n><loc>
tama,tama<pers>
naǰotδāδīǰ,naǰot<n><give><agn>
yeso,yeso<nprop>
xudowand,xudowand<n>
as,as<prep>
nān,nān<n>
sut,su<v><pst>
atā,atā<cnj>
yima,yima<dem>
tama-rd,tama<pers><lat>
nix̌ůnā,nix̌ůnā<n>
tama-ta,tama<pers><irr>
wix̌tak,wix̌tak<n>
čūɣ̌ǰin,čūɣ̌<v><pf><ptcp1>
kūdak,kūdak<n>
ar,ar<prep>
winīr,winīr<n>
viriyet,viri<v><prs><2pl>
banokāf-and,banokāf<n><loc>
farix̌tā,farix̌tā<n>
pāli-ndi,pāli<n><loc>
osmůn,osmůn<n>
lix̌kar,lix̌kar<n>
peδo,peδo<n>
δod,δo<v><pst>
xu,xu<cnj>
xuδoy,xuδoy<n>
sitowax̌,sitowax̌<n>
daraw,daraw<prt>
sut,su<v><pst>
xuδoy-ard,xuδoy<n><lat>
ǰalol,ǰalol<n>
pi,pi<prep>
sar,sar<n>
tīr,tīr<post>
osmůn,osmůn<n>
osoyax̌,osoyax̌<n>
zamīn,zamīn<n>
ti,ti<post>
mardum-ard,mardum<n><lat>
idê,idê<cnj>
wev-i,wev<dem><3sg>
yu,yu<dem>
žīwǰ,žīwǰ<v>
ca,ca<cnj>
čūɣ̌ǰ,čūɣ̌<v><pf>
farix̌tayen-en,farix̌ta<n><pl><3pl>
to,to<prep>
pi,pi<prep>
osmůn,osmůn<n>
sifād,sifā<v><pst>
atā,atā<cnj>
čūpůnen-en,čūpůn<n><pl><3pl>
tar,tar<prep>
yak,yak<num>
digar,digar<pro>
gāx̌t,gāx̌<v><pst>
tiyet,ti<v><prs><2pl>
sāwām,sāw<v><prs><1pl>
tar,tar<prep>
baytlem,baytlem<nprop>
čisām,čis<v><prs><1pl>
taram,tar<dem><d3>
čīz,čīz<pro>
gāp,gāp<n>
sut,su<v><pst>
ar,ar<prt>
čīz-i,čīz<n><3sg>
as,as<prep>
xudowand,xudowand<n>
māš-ard,māš<pers><lat>
ca,ca<cnj>
firêpč,firêp<v><pf>
wāδ-en,wāδ<dem><3pl>
ǰāld-aθ,ǰāld<n><adv>
rawůn,rawůn<n>
sat,sa<v><pst>
atā,atā<cnj>
maryam,maryam<nprop>
at,at<prt>
yesuf-en,yesuf<nprop><3pl>
virūd,virū<v><pst>
atā,atā<cnj>
wev,wev<pro>
kūdak,kūdak<n>
ɣal,ɣal<prt>
ar,ar<prep>
winīr,winīr<n>
x̌ovǰin,x̌ov<v><pf><m><ptcp1>
wāδ-en,wāδ<dem><3pl>
wi,wi<dem>
kūdak,kūdak<n>
wīnt,wīn<v><pst>
xu,xu<cnj>
ar,ar<pro>
čīz-i,čīz<n><3sg>
wev-ard,wev<dem><lat>
farix̌tā,farix̌tā<n>
dar borayi,dar borayi<prep>
wi,wi<dem>
ca,ca<cnj>
lůd,lů<v><pst>
takror-en,takror<n><3pl>
ču,čū<v>
ār-čāy,ar<pro><who>
di,di<dem>
gāp-i,gāp<n><3sg>
ca,ca<cnj>
x̌ud,x̌u<v><pst>
fukaθ-en,fukaθ<pro><3pl>
as,as<prep>
čūpůnen,čūpůn<n><pl>
naqli,naqli<n>
ayrůni,ayrůn<n><subst>
zor,zor<n>
sat,sa<v><pst>
atā,atā<cnj>
maryam,maryam<nprop>
fukaθ-i,fukaθ<pro><3sg>
xu,xu<pro>
ba,ba<prep>
dil,dil<n>
anǰūvd,anǰūv<v><pst>
at,at<cnj>
fikri-yi,fikri<n><3sg>
čūd,čū<v><pst>
atā,atā<cnj>
čūpůnen-en,čūpůn<n><pl><3pl>
gax̌t,gax̌t<n>
čūd,čū<v><pst>
atā,atā<cnj>
xuδoy-en,xuδoy<n><3pl>
ǰalol,ǰalol<n>
at,at<cnj>
sitowax̌,sitowax̌<n>
čūd,čū<v><pst>
idê,idê<cnj>
di,di<dem>
ǰinow,ǰinow<n>
koren,kor<n><pl>
wīnt,wīn<v><pst>
at,at<cnj>
di,di<dem>
ǰinow,ǰinow<n>
gāpen,gāp<n><pl>
x̌ud,x̌u<v><pst>
farix̌tā,farix̌tā<n>
ar,ar<pro>
čīz-i,čīz<n><3sg>
wev-ard,wev<dem><lat>
ca,ca<cnj>
lůd,lů<v><pst>
wi,wi<dem>
gāp-ti,gāp<n><sup>
sut,su<v><pst>
waxt,wax̌t<n>
meθ,meθ<n>
bād,bād<n>
wi,wi<dem>
ɣiδā,ɣiδā<n>
čūlburůn,čūlburůn<n>
waxt,waxt<n>
to,to<cnj>
yat,ya<v><pst>
atā,atā<cnj>
wi,wi<dem>
nůmen,nům<n><3pl>
δod,δo<v><pst>
yeso,yeso<nprop>
ik,ik<prt>
wi,wi<dem>
nům,nům<n>
idê,idê<cnj>
farix̌tā,farix̌tā<n>
piro,piro<n>
as,as<prep>
wi,wi<pro>
nān,nān<n>
qīč-and,qīč<n><loc>
peδo,peδo<n>
sidaθ-i,si<n><inf><adv><3sg>
wi,wi<dem>
ca,ca<cnj>
δod,δo<v><pst>
atā,atā<cnj>
maryam,maryam<nprop>
at,at<cnj>
yesuf,yesuf<nprop>
pokīzačīd,pokīza<n><do><inf>
waxt,waxt<n>
as rūyi,as rūyi<prep>
šariyati,šariyat<n><ez>
mūso,mūso<nprop>
to,to<cnj>
firīpt,firīp<v><pst>
atā,atā<cnj>
wāδ-en,wāδ<dem><3pl>
kūdak,kūdak<n>
pi,pi<prep>
yerusalīm,yerusalīm<nprop>
xudowand-ard,xudowand<n><lat>
taqdīmčīd,taqdīm<n><do><inf>
vūd,vū<v><pst>
důnd,důnd<pro>
aven,aven<post>
idê,idê<cnj>
xudowand,xudowand<n>
qonūn-and,qonūn<n><loc>
yaθč,yaθ<v><pf>
ar,ar<pro>
narīnā,narīnā<n>
sarfarzand,sarfarzand<n>
boyad,boyad<v>
xudowand-ard,xudowand<n><lat>
taqdīm,taqdīm<n>
sůd,sů<v><prs><3sg>
atā,atā<cnj>
āmga,ām<cnj><add1>
di,di<dem>
ǰāt,ǰāt<post>
idê,idê<cnj>
qurbůni,qurbůni<n>
kinen,kin<v><prs><3pl>
δu,δu<num>
foxtā,foxtā<n>
yo,yo<cnj>
δiyůn,δiyůn<num>
čibůdbuc,čibůd<n><child>
ar,ar<pro>
rāng,rāng<pro>
xudowand,xudowand<n>
qonūn,qonūn<n>
ca,ca<cnj>
rimoδǰi,rimoδ<v><pf><3sg>
ven,v<v><prs><3pl>
yik,yik<prt>
wev,wev<dem>
waxten-and,waxt<n><pl><loc>
