wordform,tagged
bād,bād<prt>
atā,atā<cnj>
yeso,yeso<nprop>
ar,ar<pro>
čīz,čīz<n>
mardum-ard,mardum<n><lat>
wi,wi<dem>
forax̌,forax̌<n>
ca,ca<cnj>
vud,vu<v><pst>
lůd-i,lů<v><pst><3sg>
xu,xu<cnj>
gax̌t-i,gax̌t<n><3sg>
ču,čū<v>
tar,tar<prep>
kafarnaum,kafarnaum<nprop>
yi,yi<prt>
aǰnabi,aǰnabi<n>
sadā,sadā<n>
mīr-and,mīr<n><loc>
bašānd,bašānd<n>
damdor,damdor<n>
ɣulům,ɣulům<n>
vud,vu<v><pst>
yu,yu<dem>
ɣulům,ɣulům<n>
bemor,bemor<n>
sut,su<v><pst>
xu,xu<cnj>
či,či<prep>
mīd,mī<v><inf>
sut,su<v><pst>
sadā,sadā<n>
mīr,mīr<n>
yeso,yeso<nprop>
gāp-i,gāp<n><3sg>
x̌ud,x̌u<v><pst>
xu,xu<cnj>
yawūd,yawūd<n>
aqsaqolen-i,aqsaqol<n><pl><3sg>
tar,tar<prep>
wi,wi<dem>
xez,xez<post>
rimod,rimo<v><pst>
idê,idê<cnj>
yoδd,yoδ<v><prs><3sg>
wi,wi<dem>
ɣulům,ɣulům<n>
as,as<prep>
mīdow,mī<v><inf><purp>
naǰot,naǰot<n>
δīd,δī<v><prs><3sg>
wāδ-en,wāδ<dem><3pl>
yat,ya<v><pst>
tar,tar<prep>
yeso,yeso<nprop>
xez,xez<post>
xu,xu<cnj>
xax̌-aθ,xax̌<n><adv>
yiltimos-en,iltimos<n><3pl>
as,as<prep>
wi,wi<dem>
čūd,čū<v><pst>
wāδ-en,wāδ<dem><3pl>
yeso-rd,yeso<nprop><lat>
lůd,lů<v><pst>
yik-id,yik<dem><d2><sg>
odam,odam<n>
māš,māš<pers>
mardum-i,mardum<n><3sg>
žīwǰ,žīwǰ<v>
yid,yid<dem>
māš-ard-i,māš<pers><lat><3sg>
kiništ,kiništ<n>
mīzd,mīz<v><pst>
atā,atā<cnj>
tu,tu<pers>
wi-rd,wi<dem><lat>
yordam,yordam<n>
ca,ca<cnj>
kini,kin<v><prs><2sg>
lap,lap<prt>
bašānd,bašānd<n>
kor,kor<n>
sůd,sů<v><prs><3sg>
yeso,yeso<nprop>
wev,wev<dem>
qati,qati<post>
rawůn,rawůn<n>
sut,su<v><pst>
xu,xu<cnj>
qarībaki,qarīb<n><dim><ez>
sadā,sadā<n>
mīr,mīr<n>
čīd-en,čīd<n><3pl>
yat,ya<v><pst>
atā,atā<cnj>
yu,yu<dem>
pis,pis<prep>
xu,xu<pro>
nazdīk,nazdīk<prep>
odamenaθ-i,odam<n><pl><adv><3sg>
yeso-rd,yeso<nprop><lat>
pêɣům,pêɣům<n>
čūd,čū<v><pst>
e,e<prt>
taxsīr,taxsīr<n>
tu,tu<pers>
xu,xu<pro>
qadam,qadam<n>
ranǰā,ranǰ<n><pl>
kin,kin<v>
wuz-um,wuz<pers><1sg>
důnd-ard,důnd<pro><lat>
loyiq,loyiq<n>
nist,nist<v>
idê,idê<cnj>
tu,tu<pers>
tar,tar<prep>
mu,mu<pers>
čīd,čīd<n>
deδi,deδ<v><prs><2sg>
xubaθ-um,xubaθ<pro><1sg>
mis,mis<prt>
důnd,důnd<pro>
aven,aven<post>
tar,tar<prep>
tu,tu<pers>
xez,xez<post>
yat,ya<v><pst>
idê,idê<cnj>
loyiq-um,loyiq<n><1sg>
nist,nist<v>
tu,tu<pers>
yik-důnd,yik<pro><so_much>
rimi,rimi<v>
atā,atā<cnj>
mu,mu<pers>
ɣulům-ta,ɣulům<n><irr>
xub,xub<n>
sůd,sů<v><prs><3sg>
wuz-um,wuz<pers><1sg>
xubaθ,xubaθ<pro>
farmůnbardor,farmůn<n><assault>
odam,odam<n>
atā,atā<cnj>
mund-en,mu<pers><loc><3pl>
mis,mis<prt>
vo,vo<prt>
mu,mu<pers>
farmůn-and,farmůn<n><loc>
sarbozen,sarboz<n><pl>
yast,yast<v>
yīward,yīw<num><lat>
lům,lů<v><prs><1sg>
sa,sa<v>
yu,yu<pers>
δar,δar<n>
sůd,sů<v><prs><3sg>
yīw-ard,yīw<num><lat>
lům,lů<v><prs><1sg>
tarů,tar<dem><d1>
ya,ya<v>
yu,yu<dem>
yoδd,yoδ<v><prs><3sg>
xu,xu<cnj>
ɣulům-ard,ɣulům<n><lat>
lům,lů<v><prs><1sg>
falůn,falůn<n>
kor,kor<n>
ki,ki<v>
yu,yu<dem>
kix̌t,kix̌<v><prs><3sg>
yeso,yeso<nprop>
dev,dev<dem>
gāpen-i,gāp<n><pl><3sg>
x̌ud,x̌u<v><pst>
xu,xu<cnj>
ayrůn,ayrůn<n>
sut,su<v><pst>
xu,xu<cnj>
gāx̌t,gāx̌<v><pst>
tar,tar<prep>
wev,wev<dem>
odamen,odam<n><pl>
idê,idê<cnj>
wi,wi<dem>
dām-ti-yen,dām<post><sup><3pl>
ca,ca<cnj>
toyd,toy<v><pst>
xu,xu<cnj>
lůd-i,lů<v><pst><3sg>
tama-rd,tama<pers><lat>
lům,lů<v><prs><1sg>
idê,idê<cnj>
yisroyīl-and-aθ-um,yisroyīl<nprop><loc><emph><1sg>
wuz,wuz<pers>
yik,yik<prt>
dis,dis<pro>
yemůn,yemůn<n>
wīnt,wīn<v><pst>
atā,atā<cnj>
wāδ,wāδ<dem>
sadā,sadā<n>
mīr,mīr<n>
box̌čin,box̌<v><pf><ptcp1>
odamen-en,odam<n><pl><3pl>
to,to<prep>
tar,tar<prep>
wi,wi<dem>
čīd,čīd<n>
yat,ya<v><pst>
idê,idê<cnj>
yu,yu<dem>
ɣulům,ɣulům<n>
waxt-aθ,waxt<n><adv>
xub,xub<n>
suδǰ,suδ<v><pf><m>
atā,atā<cnj>
čand,čand<pro>
waxt,waxt<n>
bād,bād<prt>
yeso,yeso<nprop>
tar,tar<prep>
nayin,nayin<nprop>
nům,nům<n>
x̌ār,x̌ār<n>
tūyd,tūy<v><pst>
atā,atā<cnj>
wi,wi<dem>
x̌ogirden,x̌ogird<n><pl>
at,at<cnj>
katā,katā<n>
yizdiůmen,yizdiům<n><pl>
wi,wi<dem>
amro,amro<n>
vad,va<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
tar,tar<prep>
x̌ār,x̌ār<n>
darwozā,darwozā<n>
xez,xez<post>
yat,ya<v><pst>
atā,atā<cnj>
as,as<prep>
x̌ār-and-en,x̌ār<n><loc><3pl>
yi,yi<prt>
murδā,murδā<n>
ziwost,ziwos<v><pst>
idê,idê<cnj>
yu,yu<dem>
yi,yi<prt>
bewā-nd,bewā<n><loc>
wam,wam<dem>
yīwikaθ,yīw<num><dim><adv>
ziryot,ziryot<n>
vuδǰ,vuδ<v><pf><m>
atā,atā<cnj>
wam,wam<pro>
bewā,bewā<n>
qati,qati<post>
nāš,nāš<prt>
mardum,mardum<n>
vud,vu<v><pst>
yeso-yi,yeso<nprop><ez>
mase,mase<n>
wam-i,wam<pers><3sg>
wīnt,wīn<v><pst>
xu,xu<cnj>
wi-rd,wi<pers><lat>
as,as<prep>
wam,wam<pers>
rām,rām<n>
yat,ya<v><pst>
xu,xu<cnj>
lůd-i,lů<v><pst><3sg>
nāw,nāw<v>
daδ,daδ<cnj>
yat,ya<v><pst>
xu,xu<cnj>
xu,xu<pro>
δust-i,δust<n><3sg>
δod,δo<v><pst>
tar,tar<prep>
tobūt,tobūt<n>
wāδ,wāδ<dem>
odamen-en,odam<n><pl><3pl>
tobūt,tobūt<n>
qati,qati<post>
ca,ca<cnj>
vad,va<v><pst>
gīr-en,gīr<n><3pl>
sat,sa<v><pst>
yeso,yeso<nprop>
lůd-i,lů<v><pst><3sg>
e,e<prt>
ǰiwůn,ǰiwůn<n>
tu-rd,tu<pers><lat>
ta,ta<prt>
lům,lů<v><prs><1sg>
andiӡ,andiӡ<v>
yu,yu<dem>
murδā,murδā<n>
xu,xu<pro>
ǰoy-ti,ǰoy<n><sup>
nūst,nūs<v><pst>
xu,xu<cnj>
daraw,daraw<prt>
gāp-δêd,gāp<v><give><inf>
sut,su<v><pst>
yeso,yeso<nprop>
wi-yi,wi<dem><3sg>
wi,wi<dem>
nān-ard,nān<n><lat>
zindā,zindā<n>
čūd,čū<v><pst>
fukaθ,fuk<pro>
mardum,mardum<n>
woymā-ndi,woymā<n><loc><3sg>
δod,δo<v><pst>
xu,xu<cnj>
xuδoy-ard-en,xuδoy<n><lat><3pl>
daraw,daraw<prt>
yůllo,yůllo<n>
sat,sa<v><pst>
wāδ-en,wāδ<dem><3pl>
xax̌aθ,xax̌<n><adv>
lůd,lů<v><pst>
buzurg,buzurg<n>
payɣambar,payɣambar<n>
māš,māš<pers>
darūn,darūn<post>
peδo,peδo<n>
δod,δo<v><pst>
xuδoy,xuδoy<n>
xu,xu<pro>
xalq-ard,xalq<n><lat>
yordam,yordam<n>
yat,ya<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
naqli,naqli<n>
tamůmi,tamům<n><ez>
mulki,mulk<n><ez>
yawūdo-rd,yawūdo<nprop><lat>
atā,atā<cnj>
wi,wi<dem>
garginūx̌ā,garginūx̌ā<post>
pān,pān<n>
sut,su<v><pst>
