wordform,tagged
atā,atā<cnj><advs>
yi,yi<prt><indef>
memūn,memūn<n>
di-yi,di<dem><d2><m><sg><o>><3sg>
x̌ud,x̌u<v>><3sg>
xu,xu<cnj><coord1>
yeso-rd-i,yeso<nprop><jesus>><lat>><3sg>
lůd,lů<v>><pst>
xušbaxt,xušbaxt<n>
yik-u,yik<pro><emph>><d3><m><sg>
yidê,yidê<cnj><compl>
yu,yu<dem><d3><m><sg>
xuδoy,xuδoy<n><god>
malakūt-and,malakūt<n>><loc>
šelůn,šelůn<n>
ca,ca<cnj><subd>
xīrt,xīr<v>><prs><3sg>
atā,atā<cnj><advs>
yeso,yeso<nprop><jesus>
lůd-i,lů<v>><pst>><3sg>
wi-rd,wi<dem><d3><m><sg><o>><lat>
yi,yi<prt><indef>
odam,odam<n>
ziyofat-i,ziyofat<n>><3sg>
taškīl,taškīl<n>
čūd,čū<v>><pst>
xu,xu<cnj><coord1>
lap,lap<prt>
memūn-i,memūn<n>><3sg>
qīwd,qīw<v>><pst>
dastorxůn,dastorxůn<n>
kāl-ti,kāl<n>><sup>
nīstow,nīs<v>><inf>><purp>
waxt,waxt<n>
yat,ya<v>><pst>
atā,atā<cnj><advs>
yu,yu<dem><d3><m><sg>
xu,xu<pro><refl>
ɣulům-i,ɣulům<n>><3sg>
rimod,rimo<v>><pst>
wev-ard,wev<dem><d3><pl><o>><lat>
lůvdow,lův<v>><inf>><purp>
yadet,yad<v>><prs><2pl>
ziyofat,ziyofat<n>
pigoθ,pigo<n>><adv>
tayor,tayor<n>
atā,atā<cnj><advs>
bexilīwand-aθ-en,bexilīwand<n>><adv>><3pl>
fukaθ,fukaθ<pro>
daraw,daraw<prt><inch>
bax̌xix̌-tilāpt,bax̌xix̌<v>><ask>><inf>
sat,sa<v><f/pl>><pst>
yīw,yīw<num>
lůd-i,lů<v>><pst>><3sg>
yidê,yidê<cnj><compl>
yu,yu<dem><d3><m><sg>
zimc-i,zimc<n>><3sg>
xarīt,xarīt<n>
čūɣ̌ǰ,čūɣ̌<v>><pf>
xu,xu<cnj><coord1>
atman,atman<n>
boyad,boyad<n>
wam,wam<dem><d3><f><sg><o>
čīx̌tow,čīx̌<v>><inf>><purp>
sůd,sů<v>><prs><3sg>
wi-rd,wi<dem><d3><m><sg><o>><lat>
bax̌xix̌,bax̌xix̌<n>
kinen,kin<v>><prs><3pl>
yu,yu<dem><d3><m><sg>
yi-ga,yi<prt><indef>><add1>
lůd-i,lů<v>><pst>><3sg>
yidê,yidê<cnj><compl>
yu,yu<dem><d3><m><sg>
pīnʒ,pīnʒ<num>
ǰuft,ǰuft<n>
x̌īǰ-i,x̌īǰ<n>><3sg>
xarīt,xarīt<n>
čūɣ̌ǰ,čūɣ̌<v>><pf>
xu,xu<cnj><coord1>
boyad,boyad<v>
čost,čos<v>><prs><3sg>
idê,idê<cnj><compl>
wāδ,wāδ<dem><d3><pl>
bāf-en,bāf<n>><3pl>
yo,yo<cnj><or>
nay,nay<prt>
wi-rd,wi<dem><d3><m><sg><o>><lat>
bax̌xix,bax̌xix<n>
kinen,kin<v>><prs><3pl>
seyum,se<num>><ord>
lůd-i,lů<v>><pst>><3sg>
wuz-um,wuz<pers><prn><1sg>><1sg>
naw,naw<prt>
ɣ̌in,ɣ̌in<n>
vūɣ̌ǰ,vūɣ̌<v>><pf>
xu,xu<cnj><coord1>
as,as<prep><el>
wam,wam<dem><d3><f><sg><o>
xez-and,xez<post><apud>><loc>
tīdow,tī<v>><inf>><purp>
vārδīm,vārδī<v>><prs><1sg>
ɣ̌ulům,ɣ̌ulům<n>
gax̌t-i,gax̌t<n>><3sg>
čūd,čū<v>><pst>
xu,xu<cnj><coord1>
xūǰayīn-ard-i,xūǰayīn<n>><lat>><3sg>
naqli,naqli<n>
ču,čū<v><pst>
tām,tām<n>
wi,wi<dem><d3><m><sg><o>
xūǰayīn,xūǰayīn<n>
qār,qār<dem>
sifīd,sifī<v>><pst>
xu,xu<cnj><coord1>
wi,wi<dem><d3><m><sg><o>
ɣulům-ard-i,ɣulům<n>><lat>><3sg>
farmůn,farmůn<n>
δod,δo<v>><pst>
sa,sa<v>
ǰāldi,ǰāl<n>><comp>
tar,tar<prep><eq>
x̌ār,x̌ār<n>
as,as<prep><el>
kučā-t,kučā<n>><coord2>
paskučayen-ard,paskuča<n>><pl>><lat>
kambaɣal,kambaɣal<n>
at,at<cnj><coord2>
šīl,šīl<n>
at,at<cnj><coord2>
šāl,šāl<n>
at,at<prt><coord2>
kůr,kůr<n>
at,at<cnj><coord2>
šuten,šut<n>><pl>
tarů,tar<dem><eq>><d1>
va,va<v>
ɣ̌ulům,ɣ̌ulům<n>
wi-rd-i,wi<dem><d3><m><sg><o>><lat>><3sg>
lůd,lů<v>><pst>
e,e<prt><voc>
xūǰayīn,xūǰayīn<n>
tu,tu<pers><prn><2sg>
farmůn,farmůn<n>
yiǰro,yiǰro<n>
čūɣ̌ǰin,čūɣ̌<v>><pf>><ptcp1>
atā,atā<cnj><advs>
vo,vo<prt>
yilāvga,yi<pro><indef>><a_little>><add1>
ǰoy,ǰoy<n>
xoli,xoli<n>
reδǰ,reδ<v>><pf>
tām-i,tām<n>><3sg>
xūǰayīn,xūǰayīn<n>
ɣulům-ard,ɣulům<n>><lat>
lůd,lů<v>><pst>
sa,sa<v>
as,as<prep><el>
fuk,fuk<pro>
kučā,kučā<n>
at,at<cnj><coord2>
parδīren,parδīr<n>><pl>
půnd,půnd<n>
naɣ̌ǰīs,naɣ̌ǰīs<v>
xu,xu<cnj><coord1>
pi,pi<prep><up>
x̌ār,x̌ār<n>
darwozā,darwozā<n>
mis,mis<prt><add2>
sa,sa<v>
xu,xu<cnj><coord1>
fukaθ,fukaθ<pro>
rozi,rozi<n>
kin,kin<v>
idê,idê<cnj><compl>
tarů,tar<dem><eq>><d1>
yaden,yad<v>><prs><3pl>
lāk,lāk<v>
mu,mu<pers><prn><1sg><o>
čīd,čīd<n>
as,as<prep><el>
memůn,memůn<n>
pur,pur<n>
sůd,sů<v>><prs><3sg>
wuz,wuz<pers><prn><1sg>
lům,lů<v>><prs><1sg>
tama-rd,tama<pers><prn><2pl>><lat>
yidê,yidê<cnj><compl>
yi-čāy-aθ-ta,yi<pro><indef>><who>><int>><irr>
yik,yik<prt><emph>
as,as<prep><el>
wev,wev<dem><d3><pl><o>
dāwatsuδǰinen,dāwat<n>><become>><pf><m>><ptcp1>><pl>
tar,tar<prep><eq>
mu,mu<pers><prn><1sg><o>
dastorxůn,dastorxůn<n>
kāl,kāl<n>
yoδd,yoδ<v>><prs><3sg>
ǰatčūɣ̌ǰin,ǰat<n>><do>><pf>><ptcp1>
lap,lap<pro>
atā,atā<cnj><advs>
qabulsuδǰin,qabul<n>><become>><pf><m>><ptcp1>
kām,kām<prt>
