wordform,tagged
yi,yi<prt>
meθ,meθ<n>
ǰinesor,ǰinesor<nprop>
nům,nům<n>
qůllāv-ti,qůl<n><shore><sup>
nāš,nāš<n>
mardum,mardum<n>
yeso,yeso<nprop>
garginūx̌ā,garginūx̌ā<post>
ʒuv,ʒuv<n>
vud,vu<v><pst>
idê,idi<cnj>
xuδoy,xuδoy<n>
kalům,kalům<n>
as,as<prep>
wi,wi<dem>
ɣêv-and,ɣêv<n><loc>
x̌īnt,x̌īn<v><prs><3sg>
yeso,yeso<nprop>
δiyůn,δiyůn<num>
kax̌tīn-i,kax̌tīn<n><3sg>
wīnt,wīn<v><pst>
idê,idi<cnj>
tar,tar<prep>
qůllāv-en,qůl<n><shore><3pl>
firīpt,firīp<v><pst>
moyigīren-en,moyigīr<n><pl><3pl>
as,as<prep>
kax̌tīnen-and,kax̌tīn<n><pl><loc>
nax̌toyd,nax̌toy<v><pst>
xu,xu<cnj>
xu,xu<pro>
tūren-en,tūr<n><pl><3pl>
zinod,zino<v><pst>
yeso,yeso<nprop>
ded,de<v><pst>
ar,ar<prep>
yi,yi<num>
kax̌tīn,kax̌tīn<n>
yā,yā<dem>
šimůn-and,šimůn<nprop><loc>
vad,va<v><pst>
xu,xu<cnj>
xoyix̌-i,xoyix̌<n><3sg>
čūd,čū<v><pst>
důndikaθ,důnd<pro><dim><adv>
as,as<prep>
zīmbā,zīmbā<n>
δardi,δar<n><comp>
sůd,sů<v><prs><3sg>
atā,atā<cnj>
xubaθ,xubaθ<pro>
ar,ar<prep>
wi,wi<dem>
kax̌tīn,kax̌tīn<n>
nūst,nūs<v><pst>
xu,xu<cnj>
odamen-ard-i,odam<n><pl><lat><3sg>
tālīm,tālīm<n>
δêd,δê<v><inf>
dawům,dawům<n>
ču,čū<v>
to-yi,to<cnj><3sg>
tayor,tayor<n>
čūd,čū<v><pst>
atā,atā<cnj>
gāx̌t,gāx̌<v><pst>
tar,tar<prep>
šimůn,šimůn<nprop>
tar,tar<prep>
awʒi,awʒi<n>
sa,sa<v>
yik-ůd-and,yik<dem><d1><loc>
anǰīvdow-ard,anǰīv<v><inf><purp><lat>
tūr,tūr<n>
pitet,pit<v><prs><2pl>
atā,atā<cnj>
šimůn,šimůn<nprop>
wi-rd-i,wi<dem><lat><3sg>
lůd,lů<v><pst>
e,e<prt>
wistoδ,wistoδ<n>
māš-ām,māš<pers><1pl>
katarax̌āb,kata<n><allnight>
ar,ar<pro>
cůnd,cůnd<pro>
ca,ca<cnj>
ču,čū<v>
yi,yi<prt>
čīzaθ-ām,čīz<n><int><1pl>
anǰūvd,anǰūv<v><pst>
atā,atā<cnj>
tu,tu<pers>
gāp,gāp<n>
gārδenum,gārδen<v><prs><1sg>
yima,yima<dem>
pitêwum,pitêw<v><prs><1sg>
tūr,tūr<n>
moyigīren-en,moyigīr<n><pl><3pl>
tūr,tūr<n>
pitêwd,pitêw<v><pst>
xu,xu<cnj>
yik,yik<prt>
dis,dis<pro>
lap,lap<prt>
moyi-yen,moyi<n><3pl>
anǰūvd,anǰūv<v><pst>
idê,idi<cnj>
tūr,tūr<n>
pirost,piros<v><pst>
bād-en,bād<n><3pl>
tar,tar<prep>
xu,xu<pro>
amrogůn,amro<n><pl>
daraw,daraw<prt>
δust-weδd,δust<v><lay_out><inf>
sat,sa<v><pst>
idê,idi<cnj>
yaden,yad<v><prs><3pl>
wev-ard,wev<dem><lat>
yordam,yordam<n>
kinen,kin<v><prs><3pl>
wev,wev<dem>
amrogůnen,amro<n><pl><3pl>
xu,xu<pro>
kax̌tīn,kax̌tīn<n>
qati,qati<post>
yat,ya<v><pst>
xu,xu<cnj>
wāδ-en,wāδ<dem><3pl>
varθ,varθ<n>
kax̌tīnen,kax̌tīn<n><pl>
yik,yik<prt>
dis,dis<pro>
lap,lap<prt>
moyi,moyi<n>
wīz,wīz<v>
čūd,čū<v><pst>
idê,idi<cnj>
wāδ,wāδ<dem>
kax̌tīnen-en,kax̌tīn<n><pl><3pl>
daraw,daraw<prt>
bun-nīst,bun<v><sit><inf>
sat,sa<v><pst>
atā,atā<cnj>
šimůn,šimůn<nprop>
petrus,petrus<nprop>
di-yi,di<dem><3sg>
wīnt,wīn<v><pst>
xu,xu<cnj>
yeso,yeso<nprop>
piro-ndi-yi,piro<n><loc><3sg>
či-zůn,či<n><knee>
xu,xu<cnj>
δod,δo<v><pst>
xu,xu<cnj>
lůd-i,lů<v><pst><3sg>
e,e<prt>
xudowand,xudowand<n>
as,as<prep>
mu,mu<pers>
xez-and,xez<post><loc>
δar,δar<n>
sa,sa<v>
wuz-um,wuz<pers><1sg>
