wordform,tagged
atā,atā<cnj><advs>
yeso,yeso<nprop><jesus>
dawům-i,dawům<n>><3sg>
čūd,čū<v>><pst>
yi,yi<pro><indef>
odam-and-en,odam<n>><loc>><3pl>
δu,δu<num>
puc,puc<n>
vad,va<v><f/pl>><pst>
fištīr,fištīr<n>
puc,puc<n>
xu,xu<cnj><coord1>
dod-ard-i,dod<n>><lat>><3sg>
lůd,lů<v>><pst>
mu,mu<pers><prn><1sg><o>
bāx̌,bāx̌<n>
mīros,mīros<n>
mu-rd,mu<pers><prn><1sg><o>><lat>
dāk,dāk<v>
atā,atā<cnj><advs>
yu,yu<dem><d3><m><sg>
čorik,čorik<n>
xu,xu<pro><refl>
mol,mol<n>
at,at<cnj><coord2>
oli,ol<n>><3sg>
xu,xu<pro><refl>
pacen-ard,pac<n>><pl>><lat>
bāx̌,bāx̌<n>
ču,čū<v><pst>
bād,bād<n>
as,as<prep><el>
δu-aray,δu<num>><three>
meθ,meθ<n>
yu,yu<dem><d3><m><sg>
fištīr,fištīr<n>
puc,puc<n>
fukaθ-i,fukaθ<pro>><3sg>
xu,xu<pro><refl>
mol,mol<n>
ǰām,ǰām<n>
čūd,čū<v>><pst>
xu,xu<cnj><coord1>
pūl,pūl<n>
qati,qati<post><com>
tar,tar<prep><eq>
δaraki,δaraki<n>
mamlakat,mamlakat<n>
tūyd,tūy<v><m>><pst>
taram-i,taram<dem><eq>><d3>><3sg>
yik dis,yik<prt><emph>
dis,dis<pro>
ayš,ayš<n>
čūd,čū<v>><pst>
idê,idê<cnj><compl>
ar,ar<pro>
čīz,čīz<pro>
wi-nd,wi<dem><d3><m><sg><o>><loc>
ca,ca<cnj><subd>
vud,vu<v><m>><pst>
fukaθ-i,fukaθ<pro>><3sg>
binêst,binês<v>><pst>
atā,atā<cnj><advs>
yik,yik<prt><emph>
di,di<dem><d2><m><sg><o>
waxt-and,waxt<n>><loc>
yik,yik<prt><emph>
wi,wi<dem><d3><m><sg><o>
mamlakat-and,mamlakat<n>><loc>
moɣ̌ӡ,moɣ̌ʒ<n>
sut,su<v><m>><pst>
xu,xu<cnj><coord1>
yu,yu<dem><d3><m><sg>
sof,sof<n>
benawo,benawo<n>
sut,su<v><m>><pst>
bād,bād<n>
as,as<prep><el>
maǰbūri,maǰbūri<n>
sut,su<v><m>><pst>
tar,tar<prep><eq>
yi,yi<pro><indef>
boy,boy<n>
xez,xez<post><apud>
kor,kor<n>
tilāpt,tilāp<v>><pst>
atā,atā<cnj><advs>
yu,yu<dem><d3><m><sg>
boy,boy<n>
wi-yi,wi<dem><d3><m><sg><o>><3sg>
tar,tar<prep><eq>
xu,xu<pro><refl>
qišloq,qišloq<n>
xūgbůni,xūg<n>><shepherding>
čīdow,čī<v>><inf>><purp>
box̌t,box̌<v>><pst>
yu,yu<dem><d3><m><sg>
amex̌ā,amex̌ā<n>
yik,yik<prt><emph>
dis,dis<pro>
maɣ̌ӡůnǰ,maɣ̌ʒůnǰ<n>
vud,vu<v><m>><pst>
idê,idê<cnj><compl>
xūgen,xūg<n>><pl>
xurokā,xurokā<n>
či,či<prep><prosp>
xīd,xī<v>><inf>
sut,su<v>><pst>
důnd-aven,důnd<pro>><cause>
idê,idê<cnj><compl>
wi-rd-en,wi<dem><d3><m><sg><o>><lat>><3pl>
yi-čīz-aθ,yi<pro><indef>><thing>><int>
δod,δo<v>><pst>
daδ,daδ<prt>
wi,wi<dem><d3><m><sg><o>
wux̌,wux̌<n>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
yat,ya<v>><pst>
xu,xu<cnj><coord1>
yu,yu<dem><d3><m><sg>
xu-rd-aθ-i,xu<pro><refl>><lat>><adv>><3sg>
lůd,lů<v>><pst>
mu,mu<pers><prn><1sg><o>
dod-and,dod<n>><loc>
wi,wi<dem><d3><m><sg><o>
důnd,důnd<pro>
xizmatgor,xizmatgor<n>
atā,atā<cnj><advs>
yi,yi<pro><indef>
čāy,čāy<pro>
as,as<prep><el>
wev-andi,wev<dem><d3><pl><o>><loc>><3sg>
maɣ̌ӡůnǰ,maɣ̌ʒůnǰ<n>
rist-at,ris<v>><prs><3sg>><coord2>
wev,wev<dem><d3><pl><o>
xurok,xurok<n>
bex̌,bex̌<n>
mis,mis<prt><add2>
δed,δe<v>><prs><3sg>
atā,atā<cnj><advs>
wuz,wuz<pro><prn><1sg>
