wordform,tagged
yi,yi<prt>
meθ,meθ<n>
yeso,yeso<nprop>
ar,ar<prep>
ǰo-ndi,ǰo<n><loc>
ca,ca<cnj>
duo-yi,duo<n><3sg>
čūd,čū<v><pst>
atā,atā<cnj>
yi,yi<prt>
x̌ogird,x̌ogird<n>
wi-rd-i,wi<dem><lat><3sg>
lůd,lů<v><pst>
e,e<prt>
xudowand,xudowand<n>
māš,māš<pers>
duočīd,duo<n><do><inf>
uxmānd,uxmānd<n>
kin,kin<v>
yāyo,yāyo<nprop>
yida,yida<dem>
xu,xu<pro>
x̌ogirden-i,x̌ogird<n><pl><3sg>
uxmānd,uxmānd<n>
čūd,čū<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
wev-ard-i,wev<dem><lat><3sg>
lůd,lů<v><pst>
ar,ar<pro>
waxt,waxt<n>
duo,duo<n>
či,či<prep>
x̌êyd,x̌ey<v><inf>
ca,ca<cnj>
set,s<v><prs><2pl>
yik,yik<prt>
dis,dis<prt>
lůvet,lův<v><prs><2pl>
e,e<prt>
padari,padar<n><ez>
buzurgwor,buzurgwor<n>
yu,yu<dem>
tar,tar<prep>
osmůn,osmůn<n>
lāk,lāk<v>
tu,tu<pers>
nům,nům<n>
muqadas,muqadas<n>
sůd,sů<v><prs><3sg>
lāk,lāk<v>
tu,tu<pers>
malakūt,malakūt<n>
yoδd,yoδ<v><prs><3sg>
lāk,lāk<v>
tu,tu<pers>
yirodā,yirodā<n>
zamīn-ti,zamīn<n><sup>
mis,mis<prt>
osmůn,osmůn<n>
ǰinow,ǰinow<n>
barqaror,barqaror<n>
ved,ve<v><prs><3sg>
tu,tu<pers>
māš-ard,māš<pers><lat>
ar,ar<pro>
meθ,meθ<n>
māš,māš<pers>
risq,risq<n>
at,at<cnj>
rūzi,rūzi<n>
dāk,dāk<v>
māš,māš<pers>
guno,guno<n>
māš-ard,māš<pers><lat>
biyomurzīdā,biyomurzīdā<n>
kin,kin<v>
yidê,yidê<cnj>
māš,māš<pers>
mis,mis<prt>
fukard-aθ,fuk<pro><lat><int>
ar,ar<pro>
čāy,čāy<pro>
māš-ard,māš<pers><lat>
badi,bad<n><subst>
ca,ca<cnj>
kix̌t,kix̌<v><prs><3sg>
wev,wev<dem>
guno,guno<n>
biyomurzīdā,biyomurzīdā<n>
kinām,kin<v><prs><1pl>
ozmūd-ard,ozmūd<n><lat>
māš,māš<pers>
dičor,dičor<n>
kin,kin<v>
at,at<cnj>
as,as<prep>
yiblīs,yiblīs<n>
māš,māš<pers>
nigo,nigo<n>
δêr,δêr<v>
yeso,yeso<nprop>
vo,vo<prt>
wev-ard-i,wev<dem><lat><3sg>
lůd,lů<v><pst>
farz-ām,farz<n><1pl>
čūd,čū<v><pst>
idê,idi<cnj>
yīw-and,yīw<num><loc>
as,as<prep>
tama,tama<pers>
dūst,dūst<n>
yast,yast<v>
xu,xu<cnj>
barobar,barobar<n>
x̌āb,х̌āb<n>
yoδd,yoδ<v><prs><3sg>
tar,tar<prep>
wi,wi<dem>
čīd,čīd<n>
divi,divi<n>
xu,xu<cnj>
lůvd,lův<v><prs><3sg>
e,e<prt>
dūst,dūst<n>
aray,aray<num>
garδā,garδā<n>
mu-rd,mu<pers><lat>
qārz,qārz<n>
δa,δa<v>
šič,šič<prt>
tar,tar<prep>
mu,mu<pers>
čīd,čīd<n>
yi,yi<prt>
dūst,dūst<n>
ded,de<v><pst>
atā,atā<cnj>
mu-nd,mu<pers><loc>
yi-čīz-aθ,yi<pro><thing><int>
nist,nist<v>
idê,idi<cnj>
wi,wi<dem>
piro-ndi,piro<prep><loc>
ribīm,ribi<v><prs><1sg>
naxo,naxo<prt>
yu-ta,yu<dem><irr>
as,as<prep>
čīd-and,čīd<n><loc>
xu,xu<cnj>
dūst-ard,dūst<n><lat>
lůvd,lův<v><prs><3sg>
a,a<prt>
ǰůn,ǰůn<n>
tu,tu<pers>
ol,ol<n>
mu,mu<pers>
δa,δa<v>
divi,divi<n>
yida,yida<dem>
čust,čust<v>
bāč-kāč-en,bāčkāč<n><redup><3pl>
yida,yida<dem>
x̌êvӡ,x̌êv<v><pf><f/pl>
wuz-um,wuz<pers><1sg>
mis,mis<prt>
ar,ar<prep>
bīreǰ,bīreǰ<n>
wuz,wuz<pers>
vārδīm,vār<v><fall_down><prs><1sg>
andiӡum,andiʒ<v><prs><1sg>
xu,xu<cnj>
garδā,garδā<n>
tu-rd,tu<pers><lat>
ziwêδum,ziwêδ<v><1sg>
rost-aθ,rost<n><adv>
tama-rd,tama<pers><lat>
lům,lů<v><prs><1sg>
idê,idi<cnj>
aga,aga<cnj>
