wordform,tagged
apostolen-en,apostol<n><pl><3pl>
gax̌t,gax̌t<n>
čūd,čū<v><pst>
xu,xu<cnj>
fukaθ-en,fukaθ<pro><3pl>
xu,xu<pro>
koringi,koringi<n>
yeso-rd,yeso<nprop><lat>
naqli,naqli<n>
ču,čū<v>
atā,atā<cnj>
yeso,yeso<nprop>
wev-i,wev<dem><3sg>
zox̌t,zox̌<v><pst>
xu,xu<cnj>
tar,tar<prep>
baytsaydo,baytsaydo<nprop>
nům,nům<n>
x̌ār,x̌ār<n>
tūyd,tūy<v><pst>
idê,idê<cnj>
yamand,yam<dem><loc>
wev,wev<dem>
qati,qati<post>
xilwat-aθ,xilwat<n><adv>
nīθt,nīθ<v><prs><3sg>
ammo,ammo<cnj>
xalq,xalq<n>
di-yi,di<dem><3sg>
fāmt,fām<v><pst>
xu,xu<cnj>
wev,wev<dem>
dām-ti,dām<post><sup>
sut,su<v><pst>
yeso,yeso<nprop>
wi,wi<dem>
mardum-i,mardum<n><3sg>
bašānd-aθ,bašānd<n><adv>
qabūl,qabūl<n>
čūd,čū<v><pst>
xu,xu<cnj>
dar borayi,dar borayi<prep>
xuδoy,xuδoy<n>
malakūti,malakūt<n><3sg>
wev-ard,wev<dem><lat>
naqli,naqli<n>
čūd,čū<v><pst>
at,at<cnj>
ar,ar<pro>
čāy,čāy<pro>
bemor,bemor<n>
ca,ca<cnj>
vud,vu<v><pst>
wi-yi,wi<dem><3sg>
xub,xub<n>
čūd,čū<v><pst>
meθ,meθ<n>
vegā,vegā<n>
daraw,daraw<prt>
sid,si<v><inf>
vad,va<v><pst>
atā,atā<cnj>
duwozdā,duwozdā<num>
apostolen,apostol<n><pl>
yat,ya<v><pst>
tar,tar<prep>
yeso,yeso<nprop>
xez,xez<post>
xu,xu<cnj>
lůd-en,lů<v><pst><3pl>
di,di<dem>
mardum,mardum<n>
šič,šič<prt>
lāk,lāk<v>
sen,s<v><prs><3pl>
tar,tar<prep>
dev,dev<dem>
atrof,atrof<prep>
qišloqen,qišloq<n><pl>
at,at<cnj>
toqaxůnayen,toqa<n><house><pl>
xu,xu<pro>
x̌avgā,x̌avgā<n>
atā,atā<cnj>
xurok,xurok<n>
xu-rd,xu<pro><lat>
x̌ikaren,x̌ikar<v><prs><3pl>
yůdand,yůd<dem><loc>
māš-and,māš<pers><loc>
biyābůn,biyābůn<n>
ǰoy,ǰoy<n>
atā,atā<cnj>
yeso,yeso<nprop>
wev-ard-i,wev<dem><lat><3sg>
lůd,lů<v><pst>
tama,tama<pers>
dev-ard,dev<dem><lat>
awqot,awqot<n>
δet,δ<v><prs><2pl>
māš-and,māš<pers><loc>
yi-čīz-aθ,yi<pro><thing><int>
nist,nist<v>
baɣayr,baɣayr<prep>
as,as<prep>
pīnʒ,pīnʒ<num>
garδā,garδā<n>
atā,atā<cnj>
δiyůn,δiyůn<num>
moyi,moyi<n>
apostolen-en,apostol<n><pl><3pl>
ǰiwob,ǰiwob<n>
δod,δo<v><pst>
baɣer,baɣer<n>
māš,māš<pers>
xubaθ,xubaθ<pro>
sāwām,sāw<v><prs><1pl>
dev-ard,dev<dem><lat>
awqotwori,awqotwori<n>
xarīd-ām,xarīd<v><1pl>
fukaki,fukaki<pro>
yamand,yam<dem><loc>
qarīb,qarīb<n>
pīnʒ,pīnʒ<num>
azor,azor<num>
odam,odam<n>
vud,vu<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
lůd-i,lů<v><pst><3sg>
panǰo,panǰo<num>
nafari,nafar<n><distr>
dev,dev<dem>
ǰargā,ǰargā<n>
nêδet,nêδ<v><prs><2pl>
apostolen-en,apostol<n><pl><3pl>
dis-ga,dis<pro><add1>
ču,čū<v>
fukaθ-en,fukaθ<n><3pl>
nêδd,nêδ<v><pst>
atā,atā<cnj>
yeso,yeso<nprop>
wev,wev<dem>
pīnʒ,pīnʒ<num>
garδā,garδā<n>
at,at<cnj>
δiyůn,δiyůn<num>
moyi,moyi<n>
xu,xu<cnj>
δust,δust<n>
zox̌t,zox̌<v><pst>
xu,xu<cnj>
xu,xu<pro>
pīc-i,pīc<n><3sg>
pi,pi<prep>
osmůn,osmůn<n>
čūd,čū<v><pst>
xu,xu<cnj>
barakatbāx̌,barakatbāx̌<n>
duo-yi,duo<n><3sg>
čūd,čū<v><pst>
xu,xu<cnj>
bād-i,bād<n><3sg>
wev,wev<dem>
garδayen,garδa<n><pl>
at,at<cnj>
moyien,moyi<n><pl>
kānd,kānd<n>
čūd,čū<v><pst>
xu,xu<cnj>
dāk-i,dāk<n><3sg>
ču,čū<v>
apostolen-ard,apostol<n><pl><lat>
idê,idê<cnj>
mardum-ard,mardum<n><lat>
bāx̌,bāx̌<n>
kinen,kin<v><prs><3pl>
yik-u,yik<dem><d3><m><sg>
důnd,důnd<pro>
mardum,mardum<n>
fukaθ-i,fukaθ<pro><3sg>
xūd,xū<v><pst>
at,at<cnj>
ser,ser<n>
sut,su<v><pst>
atā,atā<cnj>
vo,vo<prt>
duwozdā,duwozdā<num>
toθč-and-ga,toθč<n><loc><add1>
yu,yu<dem>
awqot,awqot<n>
bex̌,bex̌<n>
δod,δo<v><pst>
