wordform,tagged
čorik,čorik<n>
sifīnt,sifīn<v><prs><3sg>
pi,pi<prep>
daraxt,daraxt<n>
xu,xu<cnj>
sar,sar<v>
kix̌t,kix̌<v><prs><3sg>
ar,ar<prep>
xu,xu<pro>
futbolka,futbolka<n>
noken,nok<n><pl>
ǰām,ǰām<n>
čīdow,čī<v><inf><purp>
yu,yu<dem>
bād,bād<n>
kix̌t,kix̌<v><prs><3sg>
ǰāmat,ǰām<n><coord2>
bād,bād<n>
xāfct,xāfc<v><prs><3sg>
az,az<prep>
wam,wam<dem>
daraxtti,daraxt<n><sup>
winden,wi<dem><loc><3pl>
aray,aray<num>
sabad,sabad<n>
wi,wi<dem>
ɣiδā,ɣiδā<n>
guftā,guftā<taj>
yu,yu<dem>
bād,bād<n>
ar,ar<prep>
wam,wam<dem>
yi,yi<pro>
sabad,sabad<n>
kix̌t,kix̌<v><prs><3sg>
wam,wam<dem>
pur,pur<n>
as,as<prep>
xu,xu<pro>
futbolkayand,futbolka<n><loc>
bād,bād<n>
sifīnt,sifīn<v><prs><3sg>
duyum,du<num><ord>
zaxod,zaxod<rus>
pi,pi<prep>
daraxt,daraxt<n>
go,go<prt>
lůvd,lův<v><prs><3sg>
ɣal,ɣal<prt>
ǰām,ǰām<n>
kix̌tat,kix̌<v><prs><3sg><coord2>
yi,yi<pro>
ɣiδā,ɣiδā<n>
yat,ya<v><prs><3sg>
yak,yak<num>
naɣ̌ǰīst,naɣ̌ǰīs<v><prs><3sg>
markābat,markāb<n><coord2>
ar,ar<pro>
čāy,čāy<pro>
caga,ca<cnj><add1>
wam,wam<dem>
qati,qati<post>
wāδ,wāδ<dem>
naɣ̌ǰīsen,naɣ̌ǰīs<v><prs><3pl>
prosta,prosta<rus>
tāk,tāk<rus>
bād,bād<n>
yoδd,yoδ<v><prs><3sg>
iga,i<pro><add1>
ɣiδā,ɣiδā<n>
wind,wi<dem><loc>
velosiped,velosiped<n>
pomoemu,pomoemu<rus>
vad,va<v><pst>
yu,yu<dem>
wam,wam<dem>
wīnt,wīn<v><prs><3sg>
xu,xu<cnj>
yoδd,yoδ<v><prs><3sg>
tar,tar<prep>
wi,wi<dem>
čīz,čīz<pro>
xu,xu<cnj>
wi,wi<dem>
čalak,čalak<n>
yo,yo<cnj>
yā,yā<dem>
sabado…,sabad<n><q>
čīz,čīz<pro>
yu,yu<dem>
wam,wam<dem>
zêzd,zêz<v><prs><3sg>
xu,xu<cnj>
wam,wam<dem>
cift,cif<v><prs><3sg>
karoči,karoči<rus>
yu,yu<dem>
bād,bād<n>
tīzdat,tīz<v><prs><3sg><coord2>
yam,yam<dem>
čorik,čorik<n>
xāfct,xāfc<v><prs><3sg>
wam,wam<dem>
yīw,yīw<num>
kix̌t,kix̌<v><prs><3sg>
purat,pur<n><coord2>
čost,čos<v><prs><3sg>
yā,yā<v>
yīw,yīw<num>
nist,nist<v>
ey,ey<prt>
yīw,yīw<num>
xoliyat,xoli<n><coord2>
yīw,yīw<num>
pur,pur<n>
užê,užê<prt>
bād,bād<n>
vo,vo<prt>
sifīnt,sifīn<v><prs><3sg>
pi…,pi<prep>
at,at<cnj>
ɣiδā,ɣiδā<n>
mament,mament<n>
sůd,sů<v><prs><3sg>
ca,ca<cnj>
cifči,cif<v><pf><3sg>
yu,yu<dem>
tīzd,tīz<v><prs><3sg>
xu,xu<cnj>
wox̌t,wox̌<v><prs><3sg>
wam,wam<dem>
xu,xu<pro>
sabad,sabad<n>
qati,qati<post>
yu,yu<dem>
nok,nok<n>
fuk,fuk<pro>
sůd,sů<v><prs><3sg>
tixīrm,tixīrm<n>
yamardat,yam<dem><lat><coord2>
bād,bād<n>
yaden,yad<v><prs><3pl>
tar,tar<prep>
wi,wi<dem>
xez,xez<post>
δu,δu<num>
ɣiδā,ɣiδā<n>
wāδ,wāδ<dem>
kinen,kin<v><prs><3pl>
wird,wi<dem><lat>
yordam,yordam<n>
wāδ…,wāδ<dem>
kinen,kin<v><prs><3pl>
wiri,wi<dem><lat>
yordam,yordam<n>
wāδ,wāδ<dem>
wi,wi<dem>
senenat,sen<v><prs><3pl><coord2>
wi,wi<dem>
šlyāpga,šlyāp<n><add1>
riwozd,riwoz<v><prs><3sg>
yu,yu<dem>
bād…,bād<n>
kinen,kin<v><prs><3pl>
wird,wi<dem><lat>
yordam,yordam<n>
senen,sen<v><prs><3pl>
wam,wam<dem>
xu,xu<cnj>
yu,yu<dem>
čitīd,či<prep><leave><inf>
sůdat,sů<v><prs><3sg><coord2>
wāδ,wāδ<dem>
δen,δ<v><prs><3pl>
gīr,gīr<n>
xu,xu<cnj>
lůven:,lův<v><prs><3pl>
«tund,tu<pers><loc>
tu,tu<pers>
šlyāpaga,šlyāpa<n><add1>
red,re<v><pst>
wamga,wam<dem><add1>
zê»,zê<v>
yu,yu<dem>
bād,bād<n>
wam,wam<dem>
xu,xu<pro>
šlyāpa,šlyāpa<n>
zêzdat,zêz<v><prs><3sg><coord2>
čorik,čorik<n>
az,az<prep>
daraxt,daraxt<n>
voga,vo<prt><add1>
xāfctat,xāfc<v><prs><3sg><coord2>
užê,užê<prt>
az,az<prep>
mamentand,mament<n><loc>
naqli-yen,naqli<n><prs><3pl>
yu,yu<dem>
čorik,čorik<n>
az,az<prep>
daraxtti,daraxt<n><sup>
ca,ca<cnj>
xāfct,xāfc<v><prs><3sg>
yu,yu<dem>
bād,bād<n>
wīnt,wīn<v><prs><3sg>
δu,δu<num>
ɣiδā,ɣiδā<n>
yam,yam<dem>
va,va<post>
naɣ̌ǰīsen,naɣ̌ǰīs<v><prs><3pl>
nok,nok<n>
xen,x<v><prs><3pl>
