wordform,tagged
atā,atā<cnj>
yamand,yam<dem><loc>
yi,yi<prt>
qonūn,qonūn<n>
oxůn,oxůn<n>
as,as<prep>
yawūden,yawūd<n><pl>
muallimi,muallim<n><subst>
šariyati,šariyat<n><ez>
mūso,mūso<nprop>
tawrot,tawrot<n>
vud,vu<v><pst>
idê,idê<cnj>
as,as<prep>
yeso-yi,yeso<nprop><3sg>
ozmūd,ozmūd<n>
či,či<prt>
čīd,čī<v><inf>
sut,su<v><pst>
xu,xu<cnj>
andūyd,andūy<v><pst>
xu,xu<cnj>
lůd-i,lů<v><pst><3sg>
wistoδ,wistoδ<n>
wuz,wuz<pers>
boyad,boyad<v>
carāng,carang<pro>
kinum,kin<v><prs><1sg>
idê,idê<cnj>
abadi,abadi<n>
zindā,zindā<n>
risum,ris<v><prs><1sg>
atā,atā<cnj>
yeso,yeso<nprop>
as,as<prep>
wi-yi,wi<dem><3sg>
pex̌st,pêx̌s<v><pst>
atā,atā<cnj>
tawrot-and-en,tawrot<n><loc><3pl>
di,di<dem>
ǰāt,ǰāt<post>
čīz,čīz<pro>
lůvǰ,lův<v><pf>
tu-ta,tu<pers><irr>
yamand,yamand<dem><loc>
čīz,čīz<pro>
x̌oyi,x̌oy<v><prs><2sg>
yu,yu<dem>
qonūn,qonūn<n>
oxůn,oxůn<n>
ǰiwob-i,ǰiwob<n><3sg>
δod,δo<v><pst>
xu,xu<pro>
xudowand,xudowand<n>
xu,xu<pro>
xuδoy,xuδoy<n>
as,as<prep>
dil-at,dil<n><coord2>
ǰůn-aθ,ǰůn<n><int>
žīwǰ,žīwǰ<v>
ki,ki<v>
ar,ar<pro>
cůnd,cůnd<pro>
tu,tu<pers>
quwat,quwat<n>
ca,ca<cnj>
tīzd,tīz<v><prs><3sg>
at,at<cnj>
tu,tu<pers>
aqli,aqli<n>
ca,ca<cnj>
firopt,firop<v><prs><3sg>
wi-rd,wi<dem><lat>
xizmat,xizmat<n>
kin,kin<v>
atā,atā<cnj>
yiga,yi<pro><add1>
odamizod,odamizod<n>
mis,mis<prt>
xu,xu<pro>
ǰinow,ǰinow<post>
žīwǰ,žīwǰ<v>
kin,kin<v>
atā,atā<cnj>
yeso,yeso<nprop>
wi-rd-i,wi<dem><lat><3sg>
lůd,lů<v><pst>
tu-t,tu<pers><2sg>
durust,durust<n>
ǰiwob,ǰiwob<n>
δod,δo<v><pst>
yik,yik<prt>
di,di<dem>
