yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
boǰakzor,<walnut>>zor<n><place>,UNK,UNKNOWN
firopt-at,firop<v>><prs><3sg>><coord2>,UNK,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
wintow,wīn<v>><inf>><purp>,UNK,UNKNOWN
navārδed,<neg>>vārδe<v>><prs><3sg>,UNK,UNKNOWN
woft,wof<v>><prs><3sg>,UNK,UNKNOWN
yêst,yês<v>><prs><3sg>,UNK,UNKNOWN
boǰakzor,<walnut>>zor<n><place>,UNK,UNKNOWN
x̌̌āb-atā,x̌āb<n>><in>,UNK,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
yoδd,yoδ<v>><prs><3sg>,UNK,UNKNOWN
bād,bād<prt>/bād<n>/bād<prep>,UNK,UNKNOWN
xušikunůn,<joy>>kunůn<n>,UNK,UNKNOWN
bix̌čīrt,bix̌čīr<v>><prs><3sg>,UNK,UNKNOWN
sůd,sů<v>><prs><3sg>,UNK,UNKNOWN
sůd,sů<v>><prs><3sg>,UNK,UNKNOWN
ikditi,ik<prt><emph>><d2><m><sg><obl>><sup>,UNK,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
sāraki-ec,sāraki<n>><lim2>,UNK,UNKNOWN
bix̌čīrt-at,bix̌čīr<v>><prs><3sg>><coord2>,UNK,UNKNOWN
sůd,sů<v>><prs><3sg>,UNK,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
tīzd,<go>>d<v><prs><3sg>/tīz<v>><prs><3sg>,UNK,UNKNOWN
aǰ-ga,ač<prt>><add1>,UNK,UNKNOWN
tadbīr-qati,tadbīr<n>><com>,UNK,UNKNOWN
yůrx̌ak,yůrx̌<n>><dim>,UNK,UNKNOWN
sůd,sů<v>><prs><3sg>,UNK,UNKNOWN
yawūden,yawūd<n><jewish>><pl>,UNK,UNKNOWN
mūso,mūso<nprop><moses>,UNK,UNKNOWN
tawrot,tawrot<n><torah>,UNK,UNKNOWN
idê,idê<cnj><compl>/idi<cnj><compl>,UNK,UNKNOWN
yeso-yi,yeso<nprop><jesus>><3sg>/yeso<nprop><jesus>><ez>,UNK,UNKNOWN
carāng,carang<pro>,UNK,UNKNOWN
idê,idê<cnj><compl>/idi<cnj><compl>,UNK,UNKNOWN
yeso,yeso<nprop><jesus>,UNK,UNKNOWN
tawrot-and-en,tawrot<n><torah>><loc>><3pl>,UNK,UNKNOWN
tīzd,<go>>d<v><prs><3sg>/tīz<v>><prs><3sg>,UNK,UNKNOWN
firopt,firop<v>><prs><3sg>,UNK,UNKNOWN
