nān,nān<n>,nān<n>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
naɣ̌ǰīsi,naɣ̌ǰīs<v>><prs><2sg>,naɣ̌ǰīs<v><prs>><2sg>/naɣ̌ǰīs<v><prs>><2sg>/naɣ̌ǰīs<v><prs>><3sg>/naɣ̌ǰīs<v><prs>><3sg>,CORRECT
dam,dam<dem><d2><f><sg><obl>,dam<dem><d2><f><sg><obl>/dam<pro>,CORRECT
daryo,daryo<n>,daryo<adj>/daryo<n>,CORRECT
mamlakat,mamlakat<n>,mamlakat<n>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
nům,nům<n>,nům<n>,CORRECT
yāni,yāni<prt>,yān<v><prs>><2sg>/yān<v><prs>><3sg>,FAIL
šodarā,šodarā<nprop><shohdara>,šod<adj>>арā<n>,FAIL
modar,modar<n>,modar<n>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
qišloq-and,qišloq<n>><loc>,qišloq<n>><loc>,CORRECT
tawallud,tawallud<n>,tawallud<n>,CORRECT
kilametir,kilametir<n>,kilametir<n>,CORRECT
nům,nům<n>,nům<n>,CORRECT
ǰoy,ǰoy<n>,ǰoy<n>/ǰoy<n>,CORRECT
modar,modar<n>,modar<n>,CORRECT
ya,yā<dem><d3><f><sg>,ya<v><imp>,FAIL
čor,čor<n>,čor<n>/čor<num>,CORRECT
modar,modar<n>,modar<n>,CORRECT
navad,navad<num>,<neg>>vad<v><pst><f>,FAIL
navad,navad<num>,<neg>>vad<v><pst><f>,FAIL
navad,navad<num>,<neg>>vad<v><pst><f>,FAIL
yāni,yāni<prt>,yān<v><prs>><2sg>/yān<v><prs>><3sg>,FAIL
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
dev-en,dev<dem><d2><pl><obl>><3pl>,dev<dem><d2><pl><obl>><3pl>/dev<pro>><3pl>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
lůvām,lův<v>><prs><1pl>,lův<v><prs>><1pl>,CORRECT
avār,avār<n>,avār<n>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
guzaštā,guzaštā<n>,guzaštā<n>,CORRECT
dis,dis<pro>,dis<pro>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
guzaštā,guzaštā<n>,guzaštā<n>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
lům,lů<v>><prs><1sg>,lům<n>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
ik-am,ik<prt><emph>><d1><sg>,ik-am<n>/ik-am<pro>,FAIL
arůd,<down>>ůd<dem><d1>,arůd<pro>,FAIL
arůd,<down>>ůd<dem><d1>,arůd<pro>,FAIL
ɣalabā,ɣalabā<n>,ɣalabā<n>,CORRECT
taxt-i,taxt<n>><3sg>,tax<adj>><2sg>><3sg>/tax<n>><2sg>><3sg>/tax<v><prs>><2sg>><3sg>/taxt<adj>><3sg>/taxt<n>><3sg>/taxt<v><inf>><3sg>/taxt<v><pst>><3sg>,CORRECT
